asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B09SQ4SSL6,"Cutting Boards for Kitchen - Plastic Board Set of 3, Dishwasher Safe with Juice Grooves, Thick Chopping Meat, Veggies, Fruits, Easy Grip Handle, Non-Slip (Black)",https://m.media-amazon.com/images/I/71uoELfZbsL._AC_UL320_.jpg,https://www.amazon.com/dp/B09SQ4SSL6,4.7,0,17.97,21.97,170,False,1000
B073H8S6NZ,Trung Nguyen — G7 Strong X2 3 in 1 Instant Coffee — Roasted Ground Coffee Blend w/Non-dairy Creamer and Sugar — Strong and Bold — Instant Vietnamese Coffee (24 Single Serve Packets),https://m.media-amazon.com/images/I/81icK8cz94L._AC_UL320_.jpg,https://www.amazon.com/dp/B073H8S6NZ,4.7,0,12.0,0.0,170,False,900
B00LLILH98,"Flavored Coffee in Single Serve Coffee Pods - Flavor Coffee Variety Pack for Keurig K Cups Machine from Crazy Cups, 30 Count",https://m.media-amazon.com/images/I/71BmdUxpYZL._AC_UL320_.jpg,https://www.amazon.com/dp/B00LLILH98,4.5,0,18.59,19.82,170,False,1000
B0C6LTC7WB,"AIERSA 10Pcs Straw Cover Cap for Stanley Cup, Silicone Straw Topper Compatible with Stanley 30&40 Oz Tumbler with Handle",https://m.media-amazon.com/images/I/615JOw7wEUL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C6LTC7WB,4.6,0,9.99,10.99,170,False,1000
B07SVSX641,"BOURINA Fluffy Chenille Knitted Fringe Throw Blanket Lightweight Soft Cozy for Bed Sofa Chair Throw Blankets, Navy 50"" x 60""",https://m.media-amazon.com/images/I/61ZZ+W7zz0L._AC_UL320_.jpg,https://www.amazon.com/dp/B07SVSX641,4.5,0,23.99,0.0,164,False,50
B0BX92ZT75,"Touchat Wearable Blanket Hoodie, Oversized Sherpa Fleece Sweatshirt Blanket with Giant Hood Pocket and Sleeves for Adult, Warm & Cozy Grey Hooded Blanket Gifts for Adult Women Men",https://m.media-amazon.com/images/I/719owKbshBL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BX92ZT75,4.8,0,25.99,0.0,164,False,1000
B0B5RPHDJ4,Viscose Body Pillows with 100% Viscose Cover Full 21x54 Body Pillows for Adults Premium Adjustable Quilted Body Pillows Firm and Fluffy Pillow (Gray),https://m.media-amazon.com/images/I/71UJ23nmwhL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B5RPHDJ4,4.1,0,24.99,0.0,164,False,100
B08M8ZNPTZ,AOYEGO Hey Baby Opossum Throw Pillow Cover Cute Animal Pillow Case 18x18 Inch Decorative Men Women Boy Girl Room Cushion Covers for Home Couch Bed,https://m.media-amazon.com/images/I/71abbYcX5oL._AC_UL320_.jpg,https://www.amazon.com/dp/B08M8ZNPTZ,4.7,0,9.99,15.99,164,False,100
B0B31P88GB,"Leg Elevation Pillow Inflatable, Wedge Pillows for Sleeping, Comfort Leg Pillows Improve Circulation, Suitable for Relax Muscles & Comfort Swelling, Pregnant, Surgery and Injury",https://m.media-amazon.com/images/I/713218GR7xL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B31P88GB,3.7,0,16.99,0.0,164,False,300
B09N8P5379,"Standard Size Pillow Shams Set of 2, Ultra Soft Breathable 20 x 26 Inches Pillow Case Envelope Closure, Microfiber Farmhouse Bed Pillowcases for Easy Care, White",https://m.media-amazon.com/images/I/61eng8rfHXL._AC_UL320_.jpg,https://www.amazon.com/dp/B09N8P5379,4.6,0,19.98,0.0,164,False,200
